x,y,z
0.6486031,0.3620121,0.2842188
0.6407744,0.3283033,0.3204055
0.6308541,0.2929827,0.3680123
0.6222455,0.2687663,0.4197941
0.6129987,0.2621995,0.5257949
0.6073638,0.2327319,0.5900328
0.6061091,0.1673889,0.5567098
0.6124758,0.1458632,0.4578277
0.6198418,0.1325971,0.3944821
0.6316282,0.09279214,0.303118
0.6165731,-0.01083159,0.2946517
0.6136007,-0.06196478,0.3712342
0.6101312,-0.08156815,0.4584439
0.5955472,-0.1031829,0.5566477
0.5883943,-0.1396718,0.5874928
0.5965751,-0.192348,0.5109636
0.6044799,-0.2010464,0.4372752
0.6009024,-0.2541905,0.355443
0.5985977,-0.3422412,0.3094984
0.5983713,-0.3610145,0.3033755
