x,y,z
0.6759798,0.3356444,0.3321397
0.6839067,0.3809031,0.348947
0.68813,0.3991899,0.4027967
0.6841618,0.3621562,0.4543185
0.6743454,0.2907506,0.4737333
0.6621677,0.2072133,0.4609778
0.6538058,0.1536385,0.4056816
0.6488747,0.08108053,0.3564641
0.6495361,-0.007737503,0.336854
0.6572409,-0.09824765,0.3415459
0.6678303,-0.1727078,0.3526399
0.6768232,-0.2042078,0.3996199
0.6759931,-0.1589639,0.467591
0.6724123,-0.1150268,0.4862132
0.666805,-0.03993234,0.4940286
0.6635862,0.007215781,0.4781491
0.6594728,0.0610449,0.4413747
